sample_id,scenario,category,label,video_path,sensor_path,split
20,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_20.mp4,data\raw\sensors\normal_normal_smooth_20.csv,train
21,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_21.mp4,data\raw\sensors\normal_normal_smooth_21.csv,train
22,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_22.mp4,data\raw\sensors\normal_normal_smooth_22.csv,train
23,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_23.mp4,data\raw\sensors\normal_normal_smooth_23.csv,train
24,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_24.mp4,data\raw\sensors\normal_normal_smooth_24.csv,train
25,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_25.mp4,data\raw\sensors\normal_normal_smooth_25.csv,val
26,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_26.mp4,data\raw\sensors\normal_normal_smooth_26.csv,val
27,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_27.mp4,data\raw\sensors\normal_normal_smooth_27.csv,val
28,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_28.mp4,data\raw\sensors\normal_normal_smooth_28.csv,val
29,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_29.mp4,data\raw\sensors\normal_normal_smooth_29.csv,val
30,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_30.mp4,data\raw\sensors\normal_normal_smooth_30.csv,val
31,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_31.mp4,data\raw\sensors\normal_normal_smooth_31.csv,val
32,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_32.mp4,data\raw\sensors\normal_normal_smooth_32.csv,val
33,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_33.mp4,data\raw\sensors\normal_normal_smooth_33.csv,test
34,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_34.mp4,data\raw\sensors\normal_normal_smooth_34.csv,test
35,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_35.mp4,data\raw\sensors\normal_normal_smooth_35.csv,test
36,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_36.mp4,data\raw\sensors\normal_normal_smooth_36.csv,test
37,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_37.mp4,data\raw\sensors\normal_normal_smooth_37.csv,test
38,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_38.mp4,data\raw\sensors\normal_normal_smooth_38.csv,test
39,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_39.mp4,data\raw\sensors\normal_normal_smooth_39.csv,test
40,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_40.mp4,data\raw\sensors\normal_normal_smooth_40.csv,test
41,normal_turn,normal,0,data\raw\videos\normal_normal_turn_01.mp4,data\raw\sensors\normal_normal_turn_01.csv,train
42,normal_turn,normal,0,data\raw\videos\normal_normal_turn_02.mp4,data\raw\sensors\normal_normal_turn_02.csv,train
43,normal_turn,normal,0,data\raw\videos\normal_normal_turn_03.mp4,data\raw\sensors\normal_normal_turn_03.csv,train
44,normal_turn,normal,0,data\raw\videos\normal_normal_turn_04.mp4,data\raw\sensors\normal_normal_turn_04.csv,train
45,normal_turn,normal,0,data\raw\videos\normal_normal_turn_05.mp4,data\raw\sensors\normal_normal_turn_05.csv,train
46,normal_turn,normal,0,data\raw\videos\normal_normal_turn_06.mp4,data\raw\sensors\normal_normal_turn_06.csv,train
47,normal_turn,normal,0,data\raw\videos\normal_normal_turn_07.mp4,data\raw\sensors\normal_normal_turn_07.csv,train
48,normal_turn,normal,0,data\raw\videos\normal_normal_turn_08.mp4,data\raw\sensors\normal_normal_turn_08.csv,train
49,normal_turn,normal,0,data\raw\videos\normal_normal_turn_09.mp4,data\raw\sensors\normal_normal_turn_09.csv,train
50,normal_turn,normal,0,data\raw\videos\normal_normal_turn_10.mp4,data\raw\sensors\normal_normal_turn_10.csv,train
51,normal_turn,normal,0,data\raw\videos\normal_normal_turn_11.mp4,data\raw\sensors\normal_normal_turn_11.csv,train
52,normal_turn,normal,0,data\raw\videos\normal_normal_turn_12.mp4,data\raw\sensors\normal_normal_turn_12.csv,train
53,normal_turn,normal,0,data\raw\videos\normal_normal_turn_13.mp4,data\raw\sensors\normal_normal_turn_13.csv,train
54,normal_turn,normal,0,data\raw\videos\normal_normal_turn_14.mp4,data\raw\sensors\normal_normal_turn_14.csv,train
55,normal_turn,normal,0,data\raw\videos\normal_normal_turn_15.mp4,data\raw\sensors\normal_normal_turn_15.csv,train
56,normal_turn,normal,0,data\raw\videos\normal_normal_turn_16.mp4,data\raw\sensors\normal_normal_turn_16.csv,train
57,normal_turn,normal,0,data\raw\videos\normal_normal_turn_17.mp4,data\raw\sensors\normal_normal_turn_17.csv,train
58,normal_turn,normal,0,data\raw\videos\normal_normal_turn_18.mp4,data\raw\sensors\normal_normal_turn_18.csv,train
59,normal_turn,normal,0,data\raw\videos\normal_normal_turn_19.mp4,data\raw\sensors\normal_normal_turn_19.csv,train
60,normal_turn,normal,0,data\raw\videos\normal_normal_turn_20.mp4,data\raw\sensors\normal_normal_turn_20.csv,train
61,normal_turn,normal,0,data\raw\videos\normal_normal_turn_21.mp4,data\raw\sensors\normal_normal_turn_21.csv,train
62,normal_turn,normal,0,data\raw\videos\normal_normal_turn_22.mp4,data\raw\sensors\normal_normal_turn_22.csv,train
63,normal_turn,normal,0,data\raw\videos\normal_normal_turn_23.mp4,data\raw\sensors\normal_normal_turn_23.csv,train
64,normal_turn,normal,0,data\raw\videos\normal_normal_turn_24.mp4,data\raw\sensors\normal_normal_turn_24.csv,train
65,normal_turn,normal,0,data\raw\videos\normal_normal_turn_25.mp4,data\raw\sensors\normal_normal_turn_25.csv,val
66,normal_turn,normal,0,data\raw\videos\normal_normal_turn_26.mp4,data\raw\sensors\normal_normal_turn_26.csv,val
67,normal_turn,normal,0,data\raw\videos\normal_normal_turn_27.mp4,data\raw\sensors\normal_normal_turn_27.csv,val
68,normal_turn,normal,0,data\raw\videos\normal_normal_turn_28.mp4,data\raw\sensors\normal_normal_turn_28.csv,val
69,normal_turn,normal,0,data\raw\videos\normal_normal_turn_29.mp4,data\raw\sensors\normal_normal_turn_29.csv,val
70,normal_turn,normal,0,data\raw\videos\normal_normal_turn_30.mp4,data\raw\sensors\normal_normal_turn_30.csv,val
71,normal_turn,normal,0,data\raw\videos\normal_normal_turn_31.mp4,data\raw\sensors\normal_normal_turn_31.csv,val
72,normal_turn,normal,0,data\raw\videos\normal_normal_turn_32.mp4,data\raw\sensors\normal_normal_turn_32.csv,val
73,normal_turn,normal,0,data\raw\videos\normal_normal_turn_33.mp4,data\raw\sensors\normal_normal_turn_33.csv,test
74,normal_turn,normal,0,data\raw\videos\normal_normal_turn_34.mp4,data\raw\sensors\normal_normal_turn_34.csv,test
75,normal_turn,normal,0,data\raw\videos\normal_normal_turn_35.mp4,data\raw\sensors\normal_normal_turn_35.csv,test
76,normal_turn,normal,0,data\raw\videos\normal_normal_turn_36.mp4,data\raw\sensors\normal_normal_turn_36.csv,test
77,normal_turn,normal,0,data\raw\videos\normal_normal_turn_37.mp4,data\raw\sensors\normal_normal_turn_37.csv,test
78,normal_turn,normal,0,data\raw\videos\normal_normal_turn_38.mp4,data\raw\sensors\normal_normal_turn_38.csv,test
79,normal_turn,normal,0,data\raw\videos\normal_normal_turn_39.mp4,data\raw\sensors\normal_normal_turn_39.csv,test
80,normal_turn,normal,0,data\raw\videos\normal_normal_turn_40.mp4,data\raw\sensors\normal_normal_turn_40.csv,test
81,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_01.mp4,data\raw\sensors\normal_normal_speedbump_01.csv,train
82,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_02.mp4,data\raw\sensors\normal_normal_speedbump_02.csv,train
83,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_03.mp4,data\raw\sensors\normal_normal_speedbump_03.csv,train
84,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_04.mp4,data\raw\sensors\normal_normal_speedbump_04.csv,train
85,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_05.mp4,data\raw\sensors\normal_normal_speedbump_05.csv,train
86,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_06.mp4,data\raw\sensors\normal_normal_speedbump_06.csv,train
87,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_07.mp4,data\raw\sensors\normal_normal_speedbump_07.csv,train
88,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_08.mp4,data\raw\sensors\normal_normal_speedbump_08.csv,train
89,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_09.mp4,data\raw\sensors\normal_normal_speedbump_09.csv,train
90,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_10.mp4,data\raw\sensors\normal_normal_speedbump_10.csv,train
91,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_11.mp4,data\raw\sensors\normal_normal_speedbump_11.csv,train
92,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_12.mp4,data\raw\sensors\normal_normal_speedbump_12.csv,train
93,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_13.mp4,data\raw\sensors\normal_normal_speedbump_13.csv,train
94,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_14.mp4,data\raw\sensors\normal_normal_speedbump_14.csv,train
95,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_15.mp4,data\raw\sensors\normal_normal_speedbump_15.csv,train
96,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_16.mp4,data\raw\sensors\normal_normal_speedbump_16.csv,train
97,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_17.mp4,data\raw\sensors\normal_normal_speedbump_17.csv,train
98,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_18.mp4,data\raw\sensors\normal_normal_speedbump_18.csv,train
99,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_19.mp4,data\raw\sensors\normal_normal_speedbump_19.csv,train
100,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_20.mp4,data\raw\sensors\normal_normal_speedbump_20.csv,train
101,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_21.mp4,data\raw\sensors\normal_normal_speedbump_21.csv,train
102,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_22.mp4,data\raw\sensors\normal_normal_speedbump_22.csv,train
103,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_23.mp4,data\raw\sensors\normal_normal_speedbump_23.csv,train
104,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_24.mp4,data\raw\sensors\normal_normal_speedbump_24.csv,train
105,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_25.mp4,data\raw\sensors\normal_normal_speedbump_25.csv,val
106,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_26.mp4,data\raw\sensors\normal_normal_speedbump_26.csv,val
107,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_27.mp4,data\raw\sensors\normal_normal_speedbump_27.csv,val
108,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_28.mp4,data\raw\sensors\normal_normal_speedbump_28.csv,val
109,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_29.mp4,data\raw\sensors\normal_normal_speedbump_29.csv,val
110,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_30.mp4,data\raw\sensors\normal_normal_speedbump_30.csv,val
111,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_31.mp4,data\raw\sensors\normal_normal_speedbump_31.csv,val
112,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_32.mp4,data\raw\sensors\normal_normal_speedbump_32.csv,val
113,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_33.mp4,data\raw\sensors\normal_normal_speedbump_33.csv,test
114,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_34.mp4,data\raw\sensors\normal_normal_speedbump_34.csv,test
115,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_35.mp4,data\raw\sensors\normal_normal_speedbump_35.csv,test
116,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_36.mp4,data\raw\sensors\normal_normal_speedbump_36.csv,test
117,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_37.mp4,data\raw\sensors\normal_normal_speedbump_37.csv,test
118,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_38.mp4,data\raw\sensors\normal_normal_speedbump_38.csv,test
119,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_39.mp4,data\raw\sensors\normal_normal_speedbump_39.csv,test
120,normal_speedbump,normal,0,data\raw\videos\normal_normal_speedbump_40.mp4,data\raw\sensors\normal_normal_speedbump_40.csv,test
121,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_01.mp4,data\raw\sensors\normal_normal_hard_brake_01.csv,train
122,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_02.mp4,data\raw\sensors\normal_normal_hard_brake_02.csv,train
123,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_03.mp4,data\raw\sensors\normal_normal_hard_brake_03.csv,train
124,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_04.mp4,data\raw\sensors\normal_normal_hard_brake_04.csv,train
125,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_05.mp4,data\raw\sensors\normal_normal_hard_brake_05.csv,train
126,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_06.mp4,data\raw\sensors\normal_normal_hard_brake_06.csv,train
127,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_07.mp4,data\raw\sensors\normal_normal_hard_brake_07.csv,train
128,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_08.mp4,data\raw\sensors\normal_normal_hard_brake_08.csv,train
129,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_09.mp4,data\raw\sensors\normal_normal_hard_brake_09.csv,train
130,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_10.mp4,data\raw\sensors\normal_normal_hard_brake_10.csv,train
131,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_11.mp4,data\raw\sensors\normal_normal_hard_brake_11.csv,train
132,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_12.mp4,data\raw\sensors\normal_normal_hard_brake_12.csv,train
133,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_13.mp4,data\raw\sensors\normal_normal_hard_brake_13.csv,train
134,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_14.mp4,data\raw\sensors\normal_normal_hard_brake_14.csv,train
135,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_15.mp4,data\raw\sensors\normal_normal_hard_brake_15.csv,train
136,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_16.mp4,data\raw\sensors\normal_normal_hard_brake_16.csv,train
137,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_17.mp4,data\raw\sensors\normal_normal_hard_brake_17.csv,train
138,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_18.mp4,data\raw\sensors\normal_normal_hard_brake_18.csv,train
139,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_19.mp4,data\raw\sensors\normal_normal_hard_brake_19.csv,train
140,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_20.mp4,data\raw\sensors\normal_normal_hard_brake_20.csv,train
141,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_21.mp4,data\raw\sensors\normal_normal_hard_brake_21.csv,train
142,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_22.mp4,data\raw\sensors\normal_normal_hard_brake_22.csv,train
143,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_23.mp4,data\raw\sensors\normal_normal_hard_brake_23.csv,train
144,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_24.mp4,data\raw\sensors\normal_normal_hard_brake_24.csv,train
145,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_25.mp4,data\raw\sensors\normal_normal_hard_brake_25.csv,val
146,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_26.mp4,data\raw\sensors\normal_normal_hard_brake_26.csv,val
147,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_27.mp4,data\raw\sensors\normal_normal_hard_brake_27.csv,val
148,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_28.mp4,data\raw\sensors\normal_normal_hard_brake_28.csv,val
149,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_29.mp4,data\raw\sensors\normal_normal_hard_brake_29.csv,val
150,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_30.mp4,data\raw\sensors\normal_normal_hard_brake_30.csv,val
151,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_31.mp4,data\raw\sensors\normal_normal_hard_brake_31.csv,val
152,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_32.mp4,data\raw\sensors\normal_normal_hard_brake_32.csv,val
153,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_33.mp4,data\raw\sensors\normal_normal_hard_brake_33.csv,test
154,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_34.mp4,data\raw\sensors\normal_normal_hard_brake_34.csv,test
155,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_35.mp4,data\raw\sensors\normal_normal_hard_brake_35.csv,test
156,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_36.mp4,data\raw\sensors\normal_normal_hard_brake_36.csv,test
157,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_37.mp4,data\raw\sensors\normal_normal_hard_brake_37.csv,test
158,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_38.mp4,data\raw\sensors\normal_normal_hard_brake_38.csv,test
159,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_39.mp4,data\raw\sensors\normal_normal_hard_brake_39.csv,test
160,normal_hard_brake,normal,0,data\raw\videos\normal_normal_hard_brake_40.mp4,data\raw\sensors\normal_normal_hard_brake_40.csv,test
161,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_01.mp4,data\raw\sensors\accident_accident_frontal_01.csv,train
162,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_02.mp4,data\raw\sensors\accident_accident_frontal_02.csv,train
163,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_03.mp4,data\raw\sensors\accident_accident_frontal_03.csv,train
164,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_04.mp4,data\raw\sensors\accident_accident_frontal_04.csv,train
165,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_05.mp4,data\raw\sensors\accident_accident_frontal_05.csv,train
166,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_06.mp4,data\raw\sensors\accident_accident_frontal_06.csv,train
167,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_07.mp4,data\raw\sensors\accident_accident_frontal_07.csv,train
168,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_08.mp4,data\raw\sensors\accident_accident_frontal_08.csv,train
169,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_09.mp4,data\raw\sensors\accident_accident_frontal_09.csv,train
170,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_10.mp4,data\raw\sensors\accident_accident_frontal_10.csv,train
171,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_11.mp4,data\raw\sensors\accident_accident_frontal_11.csv,train
172,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_12.mp4,data\raw\sensors\accident_accident_frontal_12.csv,train
173,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_13.mp4,data\raw\sensors\accident_accident_frontal_13.csv,train
174,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_14.mp4,data\raw\sensors\accident_accident_frontal_14.csv,train
175,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_15.mp4,data\raw\sensors\accident_accident_frontal_15.csv,train
176,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_16.mp4,data\raw\sensors\accident_accident_frontal_16.csv,train
177,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_17.mp4,data\raw\sensors\accident_accident_frontal_17.csv,train
178,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_18.mp4,data\raw\sensors\accident_accident_frontal_18.csv,train
179,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_19.mp4,data\raw\sensors\accident_accident_frontal_19.csv,train
180,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_20.mp4,data\raw\sensors\accident_accident_frontal_20.csv,train
181,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_21.mp4,data\raw\sensors\accident_accident_frontal_21.csv,train
182,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_22.mp4,data\raw\sensors\accident_accident_frontal_22.csv,train
183,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_23.mp4,data\raw\sensors\accident_accident_frontal_23.csv,train
184,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_24.mp4,data\raw\sensors\accident_accident_frontal_24.csv,train
185,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_25.mp4,data\raw\sensors\accident_accident_frontal_25.csv,val
186,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_26.mp4,data\raw\sensors\accident_accident_frontal_26.csv,val
187,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_27.mp4,data\raw\sensors\accident_accident_frontal_27.csv,val
188,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_28.mp4,data\raw\sensors\accident_accident_frontal_28.csv,val
189,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_29.mp4,data\raw\sensors\accident_accident_frontal_29.csv,val
190,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_30.mp4,data\raw\sensors\accident_accident_frontal_30.csv,val
191,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_31.mp4,data\raw\sensors\accident_accident_frontal_31.csv,val
192,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_32.mp4,data\raw\sensors\accident_accident_frontal_32.csv,val
193,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_33.mp4,data\raw\sensors\accident_accident_frontal_33.csv,test
194,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_34.mp4,data\raw\sensors\accident_accident_frontal_34.csv,test
195,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_35.mp4,data\raw\sensors\accident_accident_frontal_35.csv,test
196,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_36.mp4,data\raw\sensors\accident_accident_frontal_36.csv,test
197,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_37.mp4,data\raw\sensors\accident_accident_frontal_37.csv,test
198,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_38.mp4,data\raw\sensors\accident_accident_frontal_38.csv,test
199,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_39.mp4,data\raw\sensors\accident_accident_frontal_39.csv,test
200,accident_frontal,accident,1,data\raw\videos\accident_accident_frontal_40.mp4,data\raw\sensors\accident_accident_frontal_40.csv,test
201,accident_rearend,accident,1,data\raw\videos\accident_accident_rearend_01.mp4,data\raw\sensors\accident_accident_rearend_01.csv,train
202,accident_rearend,accident,1,data\raw\videos\accident_accident_rearend_02.mp4,data\raw\sensors\accident_accident_rearend_02.csv,train
203,accident_rearend,accident,1,data\raw\videos\accident_accident_rearend_03.mp4,data\raw\sensors\accident_accident_rearend_03.csv,train
204,accident_rearend,accident,1,data\raw\videos\accident_accident_rearend_04.mp4,data\raw\sensors\accident_accident_rearend_04.csv,train
205,accident_rearend,accident,1,data\raw\videos\accident_accident_rearend_05.mp4,data\raw\sensors\accident_accident_rearend_05.csv,train
206,accident_rearend,accident,1,data\raw\videos\accident_accident_rearend_06.mp4,data\raw\sensors\accident_accident_rearend_06.csv,train
207,accident_rearend,accident,1,data\raw\videos\accident_accident_rearend_07.mp4,data\raw\sensors\accident_accident_rearend_07.csv,train
208,accident_rearend,accident,1,data\raw\videos\accident_accident_rearend_08.mp4,data\raw\sensors\accident_accident_rearend_08.csv,train
209,accident_rearend,accident,1,data\raw\videos\accident_accident_rearend_09.mp4,data\raw\sensors\accident_accident_rearend_09.csv,train
210,accident_rearend,accident,1,data\raw\videos\accident_accident_rearend_10.mp4,data\raw\sensors\accident_accident_rearend_10.csv,train
211,accident_rearend,accident,1,data\raw\videos\accident_accident_rearend_11.mp4,data\raw\sensors\accident_accident_rearend_11.csv,train
212,accident_rearend,accident,1,data\raw\videos\accident_accident_rearend_12.mp4,data\raw\sensors\accident_accident_rearend_12.csv,train
213,accident_rearend,accident,1,data\raw\videos\accident_accident_rearend_13.mp4,data\raw\sensors\accident_accident_rearend_13.csv,train
214,accident_rearend,accident,1,data\raw\videos\accident_accident_rearend_14.mp4,data\raw\sensors\accident_accident_rearend_14.csv,train
