sample_id,scenario,category,label,video_path,sensor_path,weather,timing,egoinvolve,split
35,real_accident_night_normal_ego_yes_000049,accident,1,data\ccd\videos\real_accident_night_normal_ego_yes_000049.mp4,data\ccd\sensors\real_accident_night_normal_ego_yes_000049.csv,normal,night,Yes,train
36,real_accident_night_normal_ego_yes_000534,accident,1,data\ccd\videos\real_accident_night_normal_ego_yes_000534.mp4,data\ccd\sensors\real_accident_night_normal_ego_yes_000534.csv,normal,night,Yes,train
37,real_accident_day_rainy_ego_no_000560,accident,1,data\ccd\videos\real_accident_day_rainy_ego_no_000560.mp4,data\ccd\sensors\real_accident_day_rainy_ego_no_000560.csv,rainy,day,No,test
38,real_accident_day_rainy_ego_yes_000438,accident,1,data\ccd\videos\real_accident_day_rainy_ego_yes_000438.mp4,data\ccd\sensors\real_accident_day_rainy_ego_yes_000438.csv,rainy,day,Yes,val
39,real_accident_night_rainy_ego_no_000696,accident,1,data\ccd\videos\real_accident_night_rainy_ego_no_000696.mp4,data\ccd\sensors\real_accident_night_rainy_ego_no_000696.csv,rainy,night,No,val
40,real_accident_night_rainy_ego_yes_001385,accident,1,data\ccd\videos\real_accident_night_rainy_ego_yes_001385.mp4,data\ccd\sensors\real_accident_night_rainy_ego_yes_001385.csv,rainy,night,Yes,train
41,real_accident_day_snowy_ego_no_001447,accident,1,data\ccd\videos\real_accident_day_snowy_ego_no_001447.mp4,data\ccd\sensors\real_accident_day_snowy_ego_no_001447.csv,snowy,day,No,train
42,real_accident_day_snowy_ego_no_001480,accident,1,data\ccd\videos\real_accident_day_snowy_ego_no_001480.mp4,data\ccd\sensors\real_accident_day_snowy_ego_no_001480.csv,snowy,day,No,val
43,real_accident_day_snowy_ego_yes_000403,accident,1,data\ccd\videos\real_accident_day_snowy_ego_yes_000403.mp4,data\ccd\sensors\real_accident_day_snowy_ego_yes_000403.csv,snowy,day,Yes,train
44,real_accident_day_snowy_ego_yes_001144,accident,1,data\ccd\videos\real_accident_day_snowy_ego_yes_001144.mp4,data\ccd\sensors\real_accident_day_snowy_ego_yes_001144.csv,snowy,day,Yes,train
45,real_accident_day_snowy_ego_yes_000116,accident,1,data\ccd\videos\real_accident_day_snowy_ego_yes_000116.mp4,data\ccd\sensors\real_accident_day_snowy_ego_yes_000116.csv,snowy,day,Yes,train
46,real_accident_day_snowy_ego_yes_000293,accident,1,data\ccd\videos\real_accident_day_snowy_ego_yes_000293.mp4,data\ccd\sensors\real_accident_day_snowy_ego_yes_000293.csv,snowy,day,Yes,test
47,real_accident_night_snowy_ego_no_000086,accident,1,data\ccd\videos\real_accident_night_snowy_ego_no_000086.mp4,data\ccd\sensors\real_accident_night_snowy_ego_no_000086.csv,snowy,night,No,test
48,real_accident_night_snowy_ego_yes_001110,accident,1,data\ccd\videos\real_accident_night_snowy_ego_yes_001110.mp4,data\ccd\sensors\real_accident_night_snowy_ego_yes_001110.csv,snowy,night,Yes,train
49,real_accident_night_normal_ego_yes_001352,accident,1,data\ccd\videos\real_accident_night_normal_ego_yes_001352.mp4,data\ccd\sensors\real_accident_night_normal_ego_yes_001352.csv,normal,night,Yes,train
50,real_accident_day_normal_ego_yes_000235,accident,1,data\ccd\videos\real_accident_day_normal_ego_yes_000235.mp4,data\ccd\sensors\real_accident_day_normal_ego_yes_000235.csv,normal,day,Yes,val
51,real_normal_day_snowy_trip_000054,normal,0,data\ccd\videos\real_normal_day_snowy_trip_000054.mp4,data\ccd\sensors\real_normal_day_snowy_trip_000054.csv,snowy,day,No,train
52,real_normal_day_normal_trip_000585,normal,0,data\ccd\videos\real_normal_day_normal_trip_000585.mp4,data\ccd\sensors\real_normal_day_normal_trip_000585.csv,normal,day,Yes,test
53,real_normal_day_normal_trip_000519,normal,0,data\ccd\videos\real_normal_day_normal_trip_000519.mp4,data\ccd\sensors\real_normal_day_normal_trip_000519.csv,normal,day,Yes,train
54,real_normal_day_normal_trip_000475,normal,0,data\ccd\videos\real_normal_day_normal_trip_000475.mp4,data\ccd\sensors\real_normal_day_normal_trip_000475.csv,normal,day,Yes,train
55,real_normal_day_normal_trip_000296,normal,0,data\ccd\videos\real_normal_day_normal_trip_000296.mp4,data\ccd\sensors\real_normal_day_normal_trip_000296.csv,normal,day,Yes,train
56,real_normal_day_normal_trip_000215,normal,0,data\ccd\videos\real_normal_day_normal_trip_000215.mp4,data\ccd\sensors\real_normal_day_normal_trip_000215.csv,normal,day,No,train
57,real_normal_day_snowy_trip_001431,normal,0,data\ccd\videos\real_normal_day_snowy_trip_001431.mp4,data\ccd\sensors\real_normal_day_snowy_trip_001431.csv,snowy,day,No,train
58,real_normal_day_snowy_trip_001156,normal,0,data\ccd\videos\real_normal_day_snowy_trip_001156.mp4,data\ccd\sensors\real_normal_day_snowy_trip_001156.csv,snowy,day,Yes,train
59,real_normal_day_normal_trip_000184,normal,0,data\ccd\videos\real_normal_day_normal_trip_000184.mp4,data\ccd\sensors\real_normal_day_normal_trip_000184.csv,normal,day,No,train
60,real_normal_day_normal_trip_001251,normal,0,data\ccd\videos\real_normal_day_normal_trip_001251.mp4,data\ccd\sensors\real_normal_day_normal_trip_001251.csv,normal,day,No,train
61,real_normal_day_normal_trip_000890,normal,0,data\ccd\videos\real_normal_day_normal_trip_000890.mp4,data\ccd\sensors\real_normal_day_normal_trip_000890.csv,normal,day,No,val
62,real_normal_day_snowy_trip_000068,normal,0,data\ccd\videos\real_normal_day_snowy_trip_000068.mp4,data\ccd\sensors\real_normal_day_snowy_trip_000068.csv,snowy,day,Yes,train
63,real_normal_day_snowy_trip_000064,normal,0,data\ccd\videos\real_normal_day_snowy_trip_000064.mp4,data\ccd\sensors\real_normal_day_snowy_trip_000064.csv,snowy,day,Yes,test
64,real_normal_day_normal_trip_000197,normal,0,data\ccd\videos\real_normal_day_normal_trip_000197.mp4,data\ccd\sensors\real_normal_day_normal_trip_000197.csv,normal,day,No,train
65,real_normal_day_normal_trip_000464,normal,0,data\ccd\videos\real_normal_day_normal_trip_000464.mp4,data\ccd\sensors\real_normal_day_normal_trip_000464.csv,normal,day,Yes,train
66,real_normal_day_snowy_trip_000494,normal,0,data\ccd\videos\real_normal_day_snowy_trip_000494.mp4,data\ccd\sensors\real_normal_day_snowy_trip_000494.csv,snowy,day,No,train
67,real_normal_day_normal_trip_001066,normal,0,data\ccd\videos\real_normal_day_normal_trip_001066.mp4,data\ccd\sensors\real_normal_day_normal_trip_001066.csv,normal,day,No,train
68,real_normal_day_normal_trip_001274,normal,0,data\ccd\videos\real_normal_day_normal_trip_001274.mp4,data\ccd\sensors\real_normal_day_normal_trip_001274.csv,normal,day,No,train
69,real_normal_day_snowy_trip_000057,normal,0,data\ccd\videos\real_normal_day_snowy_trip_000057.mp4,data\ccd\sensors\real_normal_day_snowy_trip_000057.csv,snowy,day,No,val
70,real_normal_day_normal_trip_001190,normal,0,data\ccd\videos\real_normal_day_normal_trip_001190.mp4,data\ccd\sensors\real_normal_day_normal_trip_001190.csv,normal,day,No,train
71,real_normal_day_normal_trip_000423,normal,0,data\ccd\videos\real_normal_day_normal_trip_000423.mp4,data\ccd\sensors\real_normal_day_normal_trip_000423.csv,normal,day,No,train
72,real_normal_day_normal_trip_001375,normal,0,data\ccd\videos\real_normal_day_normal_trip_001375.mp4,data\ccd\sensors\real_normal_day_normal_trip_001375.csv,normal,day,No,val
73,real_normal_day_snowy_trip_001487,normal,0,data\ccd\videos\real_normal_day_snowy_trip_001487.mp4,data\ccd\sensors\real_normal_day_snowy_trip_001487.csv,snowy,day,No,train
74,real_normal_day_normal_trip_000885,normal,0,data\ccd\videos\real_normal_day_normal_trip_000885.mp4,data\ccd\sensors\real_normal_day_normal_trip_000885.csv,normal,day,No,val
75,real_normal_day_rainy_trip_000468,normal,0,data\ccd\videos\real_normal_day_rainy_trip_000468.mp4,data\ccd\sensors\real_normal_day_rainy_trip_000468.csv,rainy,day,Yes,train
76,real_normal_day_rainy_trip_000947,normal,0,data\ccd\videos\real_normal_day_rainy_trip_000947.mp4,data\ccd\sensors\real_normal_day_rainy_trip_000947.csv,rainy,day,No,train
77,real_normal_day_normal_trip_001248,normal,0,data\ccd\videos\real_normal_day_normal_trip_001248.mp4,data\ccd\sensors\real_normal_day_normal_trip_001248.csv,normal,day,Yes,val
78,real_normal_day_normal_trip_000591,normal,0,data\ccd\videos\real_normal_day_normal_trip_000591.mp4,data\ccd\sensors\real_normal_day_normal_trip_000591.csv,normal,day,No,test
79,real_normal_day_normal_trip_000014,normal,0,data\ccd\videos\real_normal_day_normal_trip_000014.mp4,data\ccd\sensors\real_normal_day_normal_trip_000014.csv,normal,day,Yes,train
80,real_normal_day_normal_trip_000339,normal,0,data\ccd\videos\real_normal_day_normal_trip_000339.mp4,data\ccd\sensors\real_normal_day_normal_trip_000339.csv,normal,day,Yes,train
81,real_normal_day_snowy_trip_001479,normal,0,data\ccd\videos\real_normal_day_snowy_trip_001479.mp4,data\ccd\sensors\real_normal_day_snowy_trip_001479.csv,snowy,day,Yes,test
82,real_normal_day_normal_trip_000891,normal,0,data\ccd\videos\real_normal_day_normal_trip_000891.mp4,data\ccd\sensors\real_normal_day_normal_trip_000891.csv,normal,day,Yes,train
83,real_normal_day_normal_trip_000720,normal,0,data\ccd\videos\real_normal_day_normal_trip_000720.mp4,data\ccd\sensors\real_normal_day_normal_trip_000720.csv,normal,day,Yes,test
84,real_normal_day_normal_trip_000330,normal,0,data\ccd\videos\real_normal_day_normal_trip_000330.mp4,data\ccd\sensors\real_normal_day_normal_trip_000330.csv,normal,day,Yes,train
85,real_normal_day_normal_trip_000457,normal,0,data\ccd\videos\real_normal_day_normal_trip_000457.mp4,data\ccd\sensors\real_normal_day_normal_trip_000457.csv,normal,day,No,val
86,real_normal_day_normal_trip_000713,normal,0,data\ccd\videos\real_normal_day_normal_trip_000713.mp4,data\ccd\sensors\real_normal_day_normal_trip_000713.csv,normal,day,No,train
87,real_normal_day_normal_trip_000195,normal,0,data\ccd\videos\real_normal_day_normal_trip_000195.mp4,data\ccd\sensors\real_normal_day_normal_trip_000195.csv,normal,day,Yes,train
88,real_normal_day_normal_trip_000803,normal,0,data\ccd\videos\real_normal_day_normal_trip_000803.mp4,data\ccd\sensors\real_normal_day_normal_trip_000803.csv,normal,day,Yes,train
89,real_normal_night_normal_trip_000204,normal,0,data\ccd\videos\real_normal_night_normal_trip_000204.mp4,data\ccd\sensors\real_normal_night_normal_trip_000204.csv,normal,night,Yes,train
90,real_normal_day_normal_trip_000759,normal,0,data\ccd\videos\real_normal_day_normal_trip_000759.mp4,data\ccd\sensors\real_normal_day_normal_trip_000759.csv,normal,day,No,train
91,real_normal_day_normal_trip_000728,normal,0,data\ccd\videos\real_normal_day_normal_trip_000728.mp4,data\ccd\sensors\real_normal_day_normal_trip_000728.csv,normal,day,Yes,train
92,real_normal_day_rainy_trip_001278,normal,0,data\ccd\videos\real_normal_day_rainy_trip_001278.mp4,data\ccd\sensors\real_normal_day_rainy_trip_001278.csv,rainy,day,Yes,test
93,real_normal_day_normal_trip_000562,normal,0,data\ccd\videos\real_normal_day_normal_trip_000562.mp4,data\ccd\sensors\real_normal_day_normal_trip_000562.csv,normal,day,Yes,train
94,real_normal_night_normal_trip_000092,normal,0,data\ccd\videos\real_normal_night_normal_trip_000092.mp4,data\ccd\sensors\real_normal_night_normal_trip_000092.csv,normal,night,Yes,train
95,real_normal_day_normal_trip_000968,normal,0,data\ccd\videos\real_normal_day_normal_trip_000968.mp4,data\ccd\sensors\real_normal_day_normal_trip_000968.csv,normal,day,Yes,val
96,real_normal_day_normal_trip_001135,normal,0,data\ccd\videos\real_normal_day_normal_trip_001135.mp4,data\ccd\sensors\real_normal_day_normal_trip_001135.csv,normal,day,Yes,train
97,real_normal_day_normal_trip_000265,normal,0,data\ccd\videos\real_normal_day_normal_trip_000265.mp4,data\ccd\sensors\real_normal_day_normal_trip_000265.csv,normal,day,Yes,train
98,real_normal_day_normal_trip_000800,normal,0,data\ccd\videos\real_normal_day_normal_trip_000800.mp4,data\ccd\sensors\real_normal_day_normal_trip_000800.csv,normal,day,No,test
99,real_normal_day_normal_trip_000167,normal,0,data\ccd\videos\real_normal_day_normal_trip_000167.mp4,data\ccd\sensors\real_normal_day_normal_trip_000167.csv,normal,day,No,train
100,real_normal_day_snowy_trip_001170,normal,0,data\ccd\videos\real_normal_day_snowy_trip_001170.mp4,data\ccd\sensors\real_normal_day_snowy_trip_001170.csv,snowy,day,Yes,train
